   0.0000000000000000e+000   0.0000000000000000e+000  -3.1550283219328179e-017
   2.4414062500000001e-005   7.6907417866527085e-004   7.7174249783370326e-004
   4.8828125000000003e-005   1.5381483573305421e-003   1.5428894091843615e-003
   7.3242187499999997e-005   2.3072225359958131e-003   2.3134411936915331e-003
   9.7656250000000005e-005   3.0762967146610838e-003   3.0833983106397459e-003
   1.2207031250000000e-004   3.8453708933263550e-003   3.8527612189593317e-003
   1.4648437499999999e-004   4.6144450719916262e-003   4.6215303772264250e-003
   1.7089843749999999e-004   5.3835192506568970e-003   5.3897062436628201e-003
   1.9531250000000001e-004   6.1525934293221677e-003   6.1572892761374140e-003
   2.1972656250000001e-004   6.9216676079874393e-003   6.9242799321653390e-003
   2.4414062500000000e-004   7.6907417866527101e-003   7.6906786689083968e-003
   2.6855468750000002e-004   8.4539012824765766e-003   8.4564859431760699e-003
   2.9296874999999999e-004   9.2170607783004441e-003   9.2217022114250858e-003
   3.1738281250000001e-004   9.9802202741243115e-003   9.9863279297598504e-003
   3.4179687499999998e-004   1.0743379769948179e-002   1.0750363553932883e-002
   3.6621093750000000e-004   1.1506539265772045e-002   1.1513809539344669e-002
   3.9062500000000002e-004   1.2269698761595912e-002   1.2276666341044963e-002
   4.1503906249999999e-004   1.3032858257419780e-002   1.3038934413731485e-002
   4.3945312500000001e-004   1.3796017753243645e-002   1.3800614211751654e-002
   4.6386718749999998e-004   1.4559177249067513e-002   1.4561706189101867e-002
   4.8828125000000000e-004   1.5322336744891380e-002   1.5322210799428365e-002
   5.1269531250000002e-004   1.6079627046176385e-002   1.6082128496027377e-002
   5.3710937500000004e-004   1.6836917347461389e-002   1.6841459731845115e-002
   5.6152343749999996e-004   1.7594207648746391e-002   1.7600204959478075e-002
   5.8593749999999998e-004   1.8351497950031395e-002   1.8358364631174032e-002
   6.1035156250000000e-004   1.9108788251316400e-002   1.9115939198831044e-002
   6.3476562500000002e-004   1.9866078552601404e-002   1.9872929113999023e-002
   6.5917968750000004e-004   2.0623368853886409e-002   2.0629334827878890e-002
   6.8359374999999996e-004   2.1380659155171410e-002   2.1385156791323846e-002
   7.0800781249999998e-004   2.2137949456456415e-002   2.2140395454838830e-002
   7.3242187500000000e-004   2.2895239757741419e-002   2.2895051268581209e-002
   7.5683593750000002e-004   2.3646706002955372e-002   2.3649124682360790e-002
   7.8125000000000004e-004   2.4398172248169321e-002   2.4402616145640547e-002
   8.0566406249999996e-004   2.5149638493383274e-002   2.5155526107536182e-002
   8.3007812499999998e-004   2.5901104738597223e-002   2.5907855016817423e-002
